alacritty 0.12.3-1
anki 23.10.1-1
anydesk-bin 6.3.0-1
arduino 1:1.8.19-2
authy 2.4.2-1
baobab 45.0-1
base 3-2
base-devel 1-1
bitwarden 2023.12.1-1
blanket 0.6.0-2
bluez-utils 5.71-3
cabextract 1.11-1
discord 0.0.39-1
dkms 3.0.11-1
efibootmgr 18-2
emacs 29.1-4
emacs-python-mode 6.3.0-1
epiphany 45.1-1
evince 45.0-1
evtest 1.35-1
extension-manager 0.4.2-1
firefox 121.0-1
flameshot 12.1.0-3
fsearch 0.2.3-1
gdm 45.0.1-1
git 2.43.0-1
github-cli 2.40.1-1
gnome-backgrounds 45.0-1
gnome-browser-connector 42.1-4
gnome-calculator 45.0.2-1
gnome-calendar 45.1-1
gnome-characters 45.0-1
gnome-clocks 45.0-1
gnome-color-manager 3.36.0+r51+gcf7ee2b5-1
gnome-control-center 45.2-1
gnome-disk-utility 45.1-1
gnome-font-viewer 45.0-1
gnome-keyring 1:42.1-3
gnome-logs 45beta-1
gnome-menus 3.36.0-2
gnome-remote-desktop 45.1-1
gnome-session 45.0-1
gnome-settings-daemon 45.0-2
gnome-shell 1:45.2-1
gnome-shell-extension-arch-update 57-1
gnome-shell-extension-caffeine 50-1
gnome-shell-extensions 45.2-1
gnome-system-monitor 45.0.2-1
gnome-terminal 3.50.1-1
gnome-text-editor 45.1-2
gnome-tweaks 45.0-1
gnome-user-docs 45.1-1
gnome-user-share 43.0-1
gnome-weather 45.0-1
google-chrome 120.0.6099.129-1
google-earth-pro 7.3.6.9345-1
gparted 1.5.0-1
grilo-plugins 1:0.3.16-1
gst-plugin-pipewire 1:1.0.0-2
gvfs 1.52.1-1
gvfs-afc 1.52.1-1
gvfs-goa 1.52.1-1
gvfs-google 1.52.1-1
gvfs-gphoto2 1.52.1-1
gvfs-mtp 1.52.1-1
gvfs-nfs 1.52.1-1
gvfs-smb 1.52.1-1
htop 3.2.2-1
inkscape 1.3.2-3
intel-media-driver 23.4.2-1
intel-ucode 20231114-1
ipython 8.19.0-1
iwd 2.11-1
jetbrains-toolbox 2.1.3.18901-1
joyutils 1.8.1-1
libpulse 16.1-7
libreoffice-still 7.5.9-2
libva-intel-driver 2.4.1-2
libva-mesa-driver 1:23.3.1-1
linux 6.6.8.arch1-1
linux-firmware 20231211.f2e52a1c-1
linux-headers 6.6.8.arch1-1
localsend-bin 1.13.1-1
loupe 45.3-1
malcontent 0.11.1-3
marker 2023.05.02-1
nano 7.2-1
nautilus 45.2.1-1
neofetch 7.1.0-2
network-manager-applet 1.34.0-1
networkmanager 1.44.2-3
nmap 7.94-2
notion-app 2.0.18-1
noto-fonts 1:23.12.1-1
noto-fonts-cjk 20230817-1
